Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Portland Trail Blazers,LA Clippers,0021901280,117,0.457,0.462,0.378,0.799,44.8,20.3,12.8,6.1,6.1,-1.2,112.6,113.8,0.568,122,0.676,0.465,0.371,0.792,46.5,23.0,14.3,6.8,4.7,6.5,113.1,106.7,0.576,0,08/08/2020
Indiana Pacers,Los Angeles Lakers,0021901282,116,0.609,0.478,0.362,0.789,42.6,25.9,13.0,7.3,5.2,2.0,109.9,107.9,0.566,111,0.75,0.479,0.346,0.73,45.2,25.0,15.0,8.5,6.6,6.2,111.3,105.3,0.573,1,08/08/2020
Dallas Mavericks,Milwaukee Bucks,0021901284,136,0.577,0.46,0.366,0.774,46.8,24.3,12.7,6.2,4.9,5.4,115.7,110.5,0.58,132,0.797,0.478,0.354,0.745,48.9,24.5,14.2,6.9,5.6,10.2,112.2,102.1,0.584,1,08/08/2020
Denver Nuggets,Utah Jazz,0021901281,134,0.652,0.472,0.357,0.776,44.8,27.0,14.0,8.2,4.6,2.6,112.4,109.7,0.566,132,0.623,0.471,0.379,0.779,45.2,22.3,15.2,6.1,4.0,2.7,111.6,108.9,0.585,1,08/08/2020
New Orleans Pelicans,San Antonio Spurs,0021901287,113,0.435,0.463,0.371,0.726,44.6,25.6,15.6,7.2,4.7,-1.0,110.5,111.6,0.567,122,0.441,0.471,0.374,0.809,43.5,24.2,12.1,7.1,5.4,-1.4,111.8,113.0,0.571,0,08/09/2020
LA Clippers,Brooklyn Nets,0021901291,120,0.681,0.465,0.372,0.792,46.4,23.0,14.2,6.8,4.7,6.4,113.2,106.8,0.577,129,0.478,0.445,0.34,0.745,46.6,23.6,14.8,6.3,4.4,-0.9,108.2,108.9,0.551,0,08/09/2020
Boston Celtics,Orlando Magic,0021901288,122,0.667,0.461,0.366,0.8,45.6,22.6,13.6,8.2,5.5,6.4,112.9,106.6,0.57,119,0.457,0.444,0.341,0.772,44.9,24.3,12.9,8.3,5.6,-0.9,107.8,109.0,0.543,1,08/09/2020
Portland Trail Blazers,Philadelphia 76ers,0021901289,124,0.451,0.462,0.378,0.798,44.7,20.3,12.8,6.1,6.1,-1.3,112.6,113.9,0.569,121,0.609,0.465,0.362,0.753,45.5,25.7,14.2,8.1,5.3,2.3,110.0,107.8,0.563,1,08/09/2020
Sacramento Kings,Houston Rockets,0021901290,112,0.42,0.46,0.363,0.768,42.4,23.4,14.3,7.7,4.1,-2.2,109.3,111.4,0.563,129,0.632,0.452,0.349,0.787,42.6,20.7,13.9,8.3,4.9,3.6,113.3,109.9,0.579,0,08/09/2020
Toronto Raptors,Memphis Grizzlies,0021901286,108,0.721,0.457,0.372,0.803,44.5,24.8,14.4,8.6,4.8,6.1,110.8,104.7,0.574,99,0.471,0.47,0.348,0.764,44.9,25.9,14.7,7.6,5.4,-0.9,109.0,109.8,0.562,1,08/09/2020
Oklahoma City Thunder,Washington Wizards,0021901285,121,0.618,0.471,0.353,0.798,42.8,21.7,13.6,7.7,5.0,2.3,110.5,108.1,0.575,103,0.348,0.459,0.371,0.788,40.2,24.2,13.6,7.7,4.1,-4.3,110.5,114.9,0.565,1,08/09/2020
Los Angeles Lakers,Denver Nuggets,0021901296,124,0.739,0.478,0.346,0.73,45.2,24.9,15.0,8.5,6.6,6.0,111.3,105.5,0.572,121,0.657,0.472,0.355,0.776,44.8,26.9,13.9,8.2,4.6,2.6,112.3,109.7,0.566,1,08/10/2020
Phoenix Suns,Oklahoma City Thunder,0021901292,128,0.443,0.465,0.354,0.832,42.4,26.5,14.6,7.5,3.9,-0.7,110.6,110.9,0.573,101,0.623,0.471,0.355,0.797,42.8,21.8,13.6,7.7,4.9,2.5,110.7,108.1,0.576,1,08/10/2020
Miami Heat,Indiana Pacers,0021901295,114,0.614,0.469,0.382,0.784,44.2,26.1,14.9,7.4,4.5,3.0,112.2,109.5,0.589,92,0.614,0.478,0.364,0.79,42.6,25.9,13.1,7.3,5.2,2.1,109.9,107.9,0.567,1,08/10/2020
Utah Jazz,Dallas Mavericks,0021901293,114,0.614,0.471,0.379,0.778,45.2,22.4,15.3,6.1,4.0,2.6,111.6,108.9,0.585,122,0.583,0.46,0.365,0.777,46.8,24.4,12.6,6.1,4.8,5.4,115.8,110.5,0.579,0,08/10/2020
Milwaukee Bucks,Toronto Raptors,0021901294,106,0.786,0.478,0.354,0.744,48.9,24.4,14.2,6.9,5.7,10.0,112.3,102.3,0.584,114,0.725,0.458,0.372,0.802,44.4,24.8,14.6,8.7,4.8,6.1,110.6,104.5,0.575,0,08/10/2020
Philadelphia 76ers,Phoenix Suns,0021901299,117,0.6,0.466,0.363,0.753,45.5,25.7,14.2,8.1,5.3,2.2,110.1,108.0,0.563,130,0.451,0.465,0.357,0.833,42.5,26.5,14.7,7.6,3.9,-0.3,110.7,110.7,0.574,0,08/11/2020
San Antonio Spurs,Houston Rockets,0021901298,123,0.449,0.471,0.374,0.812,43.6,24.2,12.2,7.2,5.4,-1.3,111.8,112.9,0.571,105,0.638,0.453,0.349,0.788,42.6,20.7,13.9,8.2,4.9,3.8,113.4,109.7,0.58,1,08/11/2020
Orlando Magic,Brooklyn Nets,0021901297,96,0.451,0.443,0.341,0.773,44.9,24.2,12.9,8.3,5.5,-1.0,107.8,109.0,0.543,108,0.486,0.446,0.342,0.745,46.6,23.7,14.9,6.3,4.4,-0.7,108.4,109.1,0.553,0,08/11/2020
Dallas Mavericks,Portland Trail Blazers,0021901300,131,0.589,0.461,0.366,0.778,46.7,24.5,12.6,6.1,4.8,5.4,115.9,110.7,0.58,134,0.458,0.462,0.377,0.801,44.6,20.3,12.7,6.1,6.1,-1.2,112.8,114.0,0.569,0,08/11/2020
Sacramento Kings,New Orleans Pelicans,0021901302,112,0.414,0.46,0.362,0.769,42.4,23.5,14.3,7.7,4.1,-2.4,109.2,111.4,0.564,106,0.429,0.463,0.371,0.727,44.6,25.7,15.6,7.1,4.7,-1.1,110.4,111.6,0.567,1,08/11/2020
Washington Wizards,Milwaukee Bucks,0021901303,113,0.343,0.459,0.369,0.788,40.3,24.2,13.6,7.7,4.1,-4.5,110.5,115.0,0.564,126,0.775,0.477,0.353,0.744,48.9,24.4,14.3,6.8,5.7,9.8,112.1,102.4,0.584,0,08/11/2020
Memphis Grizzlies,Boston Celtics,0021901301,107,0.465,0.469,0.348,0.763,44.8,25.9,14.8,7.7,5.3,-1.0,108.7,109.7,0.561,122,0.671,0.461,0.365,0.801,45.6,22.7,13.6,8.2,5.6,6.3,112.9,106.6,0.57,0,08/11/2020
Philadelphia 76ers,Toronto Raptors,0021901305,121,0.592,0.466,0.365,0.753,45.4,25.7,14.2,8.0,5.3,2.0,110.3,108.4,0.564,125,0.729,0.457,0.371,0.8,44.5,24.7,14.5,8.7,4.9,6.1,110.6,104.5,0.574,0,08/12/2020
Houston Rockets,Indiana Pacers,0021901304,104,0.629,0.452,0.348,0.789,42.5,20.6,13.9,8.3,4.9,3.5,113.0,109.7,0.579,108,0.606,0.477,0.363,0.788,42.6,25.8,13.1,7.3,5.2,1.7,109.6,107.9,0.566,0,08/12/2020
Denver Nuggets,LA Clippers,0021901307,111,0.648,0.474,0.357,0.776,44.7,27.0,13.9,8.2,4.6,2.5,112.6,110.0,0.567,124,0.671,0.466,0.372,0.793,46.3,23.0,14.2,6.8,4.7,6.2,113.4,107.1,0.577,0,08/12/2020
Oklahoma City Thunder,Miami Heat,0021901306,116,0.614,0.47,0.355,0.798,42.7,21.8,13.6,7.7,4.9,2.1,110.4,108.2,0.575,115,0.62,0.469,0.381,0.782,44.4,26.1,14.9,7.4,4.6,3.3,112.2,109.2,0.588,1,08/12/2020
Los Angeles Lakers,Sacramento Kings,0021901310,122,0.743,0.479,0.348,0.729,45.0,25.0,14.9,8.5,6.6,6.0,111.6,105.8,0.573,136,0.423,0.461,0.362,0.771,42.4,23.5,14.4,7.6,4.1,-2.3,109.2,111.3,0.564,0,08/13/2020
Phoenix Suns,Dallas Mavericks,0021901313,128,0.458,0.466,0.357,0.835,42.6,26.6,14.6,7.5,3.9,-0.1,111.1,110.9,0.575,102,0.581,0.462,0.368,0.778,46.5,24.5,12.6,6.1,4.8,5.3,116.1,110.9,0.581,1,08/13/2020
Brooklyn Nets,Portland Trail Blazers,0021901309,133,0.493,0.446,0.342,0.746,46.6,23.7,14.9,6.3,4.4,-0.5,108.4,108.9,0.553,134,0.466,0.462,0.378,0.803,44.7,20.2,12.6,6.1,6.0,-1.2,112.9,114.1,0.569,0,08/13/2020
Boston Celtics,Washington Wizards,0021901308,90,0.676,0.462,0.366,0.8,45.6,22.8,13.6,8.2,5.6,6.4,113.1,106.6,0.571,96,0.338,0.458,0.368,0.788,40.3,24.1,13.6,7.6,4.1,-4.6,110.4,115.0,0.564,0,08/13/2020
Orlando Magic,New Orleans Pelicans,0021901312,133,0.444,0.442,0.34,0.775,45.0,24.1,12.9,8.3,5.5,-1.1,107.6,109.0,0.542,127,0.423,0.463,0.371,0.728,44.4,25.6,15.7,7.2,4.8,-1.2,110.3,111.6,0.567,1,08/13/2020
Utah Jazz,San Antonio Spurs,0021901314,118,0.606,0.471,0.381,0.778,45.1,22.5,15.3,6.1,4.1,2.4,111.7,109.2,0.585,112,0.457,0.471,0.375,0.813,43.7,24.2,12.3,7.2,5.3,-1.0,111.7,112.6,0.571,1,08/13/2020
Memphis Grizzlies,Milwaukee Bucks,0021901311,119,0.458,0.468,0.347,0.764,44.8,25.9,14.7,7.7,5.3,-1.2,108.7,109.9,0.56,106,0.778,0.477,0.355,0.743,48.9,24.4,14.2,6.8,5.6,9.8,112.2,102.4,0.584,1,08/13/2020
